id,srno,assurance_date,ministry,subject,sessionNo,assuranceNo,source,clubbedMembers
5659,185,2000-04-24,COMMERCE AND INDUSTRY,Import restrictions on food and allied products,,189/167,SQ 403,
5660,185,1999-12-20,SOCIAL JUSTICE AND EMPOWERMENT,Assets created under special component plans in States,,188/142,SQ 301,
5661,1123,1994-03-17,HUMAN RESOURCE DEVELOPMENT,Malpractices in Nuclear Science Centre,,170/36,USQ 3266,
5662,2003,2007-03-20,PETROLEUM AND NATURAL GAS,Subsidy  on LPG and kerosene oil,,210/231,USQ 2373,
5663,2003,2007-03-15,ROAD TRANSPORT AND HIGHWAYS,National Road Safety Policy,,210/141,USQ 1885,
5664,2003,2006-12-01,AGRICULTURE,Ensuring a minimum  income for farmers,,209/158,USQ 1057,
5665,2003,2006-12-07,URBAN DEVELOPMENT,Stray cattle menace,,209/137,USQ 1776,
5666,2003,2006-11-23,URBAN DEVELOPMENT,Regularisation of unauthorised colonies,,209/23,USQ 233,
5667,2455,2025-12-09,FINANCE,DISINVESTMENT OF SHIPPING CORPORATION OF INDIA LIMITED,,269/53,USQ 1039,
5668,2455,2024-02-07,Education,GUIDELINES ON COACHING CENTERS,,263/11,USQ 495,
5669,2455,2023-12-04,JAL SHAKTI,Arsenic-affectd habitations in West Bengal,,262/2,SQ 2,
5670,186,2001-08-27,HEALTH AND FAMILY WELFARE,Revision of rates charged by recognised Hospitals/Dispensaries,,193/273,USQ 3698,
5671,186,2001-08-30,LABOUR AND EMPLOYMENT,Compalints against Mekaster Group,,193/240,USQ 4216,
5672,2004,2008-04-25,RAILWAYS,extra payment for reservation of tickets,,213/383,USQ 3507,
5673,2004,2008-04-21,SOCIAL JUSTICE AND EMPOWERMENT,"report of National Commission for Denotified, Nomadic and Semi-nomadic Tribes",,213/297,USQ 2923,
5674,187,2003-12-15,INFORMATION AND BROADCASTING,Publication of daily newspapers,,200/112,USQ 1335,
5675,187,2003-12-15,HEALTH AND FAMILY WELFARE,Deemed university status to medical and health institutes,,200/109,USQ 1309,
5676,187,2003-03-12,TEXTILES,Upliftment of ailing NTC textile mills,,198/262,USQ 2314,
5677,187,2016-12-01,CIVIL AVIATION,Delay in landing of flight at Kolkata Airport carrying Ms. Mamata Banerjee and other passengers.,,241/1,,
5678,187,1996-07-23,HEALTH AND FAMILY WELFARE,Financial assistance to social institutions,,178/1,USQ 886,
5679,187,1992-08-12,HEALTH AND FAMILY WELFARE,Complaints against Doctors of RML Hospital,,164/1,USQ 3865,
5680,2457,2025-02-13,POWER,Lower Subansiri hydroelectric power project,,267/173,USQ 1026,
5681,2457,2023-08-03,DEVELOPMENT OF NORTH EASTERN REGION,Projects under North East Special Infrastructure Development Scheme (NESIDS),,260/91,SQ 153,"AmarPatnaik, Niranjan Bishi"
5682,2457,2023-08-03,DEVELOPMENT OF NORTH EASTERN REGION,Pending Projects under NLCPR Scheme,,260/55,USQ 1623,
5683,2457,2022-12-07,ROAD TRANSPORT AND HIGHWAYS,Conversion of four lanes NH into six lanes in Assam,,258/65,USQ 90,
5684,2457,2021-03-08,"Environment, Forests  & Climate Change",Impact of draft Environment Impact Assessment Notification 2020,,253/60,USQ 1481,
5685,2005,2011-12-12,COAL,Coal projects approved by Group of Ministers,,224/291,USQ 2024,
5686,2005,2011-12-14,CULTURE,Use of collection of statement and pictures of Netaji Subhash Chandra Bose,,224/259,USQ 2358,
5687,2005,2011-12-21,CULTURE,Display of speech delivered by Swami Vivekanand in Chicago,,224/201,USQ 3130,
5688,2005,2011-08-19,RAILWAYS,Recent train accidents,,223/281,USQ 2126,
5689,2005,2011-03-16,URBAN DEVELOPMENT,Construction of Hotels and other Buildings near Air Force Station in Delhi,,222/215,USQ 2269,
5690,2005,2010-12-10,HUMAN RESOURCE DEVELOPMENT,Funds for Chhattisgarh under Saakshar Bharat Programme,,221/313,USQ 3492,
5691,2005,2010-11-29,POWER,Power agreements with neighbouring countries,,221/199,USQ 2130,
5692,2005,2010-11-24,HOME AFFAIRS,Interlocutors for Kashmir and North-Eastern Region,,221/145,USQ 1598,
5693,2005,2010-08-16,LAW  AND JUSTICE,Review of the Constitution,,220/337,SQ 305,
5694,2005,2010-08-16,ENVIRONMENT AND FORESTS,Diversion of forest land in Chhattisgarh,,220/189,USQ 2303,
5695,2005,2010-08-06,RAILWAYS,Realisation of dues by IRCTC from food catering companies,,220/107,USQ 1446,
5696,2005,2010-08-06,HUMAN RESOURCE DEVELOPMENT,Educational loans,,220/104,USQ 1429,
5697,2005,2010-05-07,RAILWAYS,Trains without pantry car,,219/370,USQ 4760,
5698,2005,2010-05-03,TRIBAL AFFAIRS,Foreign assistance for development works,,219/319,USQ 4131,
5699,2005,2009-12-16,DEFENCE,Soldiers in armed forces,,218/308,USQ 2962,RUDRA NARAYAN PANY
5700,2005,2009-12-10,SPACE,training school for astronauts,,218/252,USQ 2416,MAYA SINGH
5701,2005,2009-12-01,PETROLEUM AND NATURAL GAS,Incident of fire at IOC depot at Jaipur,,218/148,USQ 1331,BALWANT ALIAS BAL APTE
5702,2005,2009-07-29,ROAD TRANSPORT AND HIGHWAYS,Schemes from Chhattisgarh,,217/405,USQ 2869,
5703,2005,2009-07-29,DEFENCE,Manufacturing of anti-landmine vehicles,,217/398,USQ 2774,
5704,2005,2009-07-24,RAILWAYS,White Paper on the activities of Railways,,217/352,USQ 2405,
5705,2005,2009-07-03,HEALTH AND FAMILY WELFARE,establishment of AIIMS in Chhattisgarh,,217/191,USQ 185,BALWANT ALIAS BAL APTE
5706,2005,2008-04-22,CIVIL AVIATION,naming of Raipur Airport,,213/219,USQ 2951,
5707,2005,2007-12-04,CULTURE,books art objects presented to foreign guests,,212/160,USQ 1504,"BALWANT ALIAS BAL APTE, RUDRA NARAYAN PANY"
5708,2005,2007-09-10,NEW AND RENEWABLE ENERGY,"funds for wind, solar and hybrid system in Chhattisgarh",,211/339,USQ 2842,
5709,2005,2007-05-17,OVERSEAS INDIAN AFFAIRS,Third Vishwa Hindu Sammelan,,210/474,USQ 4646,
5710,2005,2007-05-09,INFORMATION AND BROADCASTING,Purchase of film equipments from abroad,,210/348,USQ 3756,VINAY KATIYAR
5711,2005,2007-05-04,CHEMICALS AND FERTILIZERS,Ministerial group for solving the Bhopal gas leak related issues,,210/306,USQ 3226,ANUSUIYA UIKEY
5712,2005,2007-03-16,ENVIRONMENT AND FORESTS,Damage to environment,,210/190,USQ 2021,VINAY KATIYAR
5713,2005,2006-12-18,TRIBAL AFFAIRS,Interpretation of calling Adivasi,,209/269,USQ 2862,
5714,2005,2006-08-25,ENVIRONMENT AND FORESTS,Chemical fluids released from big Industries,,208/227,USQ 3088,
5715,2005,2011-12-05,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Recommendations of Task Force to improve PDS,,224/95,USQ 1444,
5716,2005,2011-11-28,LAW  AND JUSTICE,Objections to registration of marriages,,224/50,USQ 694,
5717,2005,2011-11-23,HOME AFFAIRS,Security Arrangements for Ganga Aarti in varanasi,,224/14,USQ 251,
5718,2005,2011-08-03,HOME AFFAIRS,State-wise reaction to Supreme Court order not to issue,,223/68,USQ 397,
5719,2005,2010-03-04,CULTURE,Basis of financial assistance to cultural organization,,219/64,USQ 771,RUDRA NARAYAN PANY
5720,2005,2009-11-25,HOME AFFAIRS,Human Rights Organisations,,218/91,USQ 689,"BALWANT ALIAS BAL APTE, RUDRA NARAYAN PANY"
5721,2005,2009-11-23,INFORMATION AND BROADCASTING,Contents of TV programmes,,218/60,SQ 48,BALWANT ALIAS BAL APTE
5722,2005,2009-11-24,FINANCE,Fake currency rackets at Kolkata,,218/18,USQ 482,
5723,2005,2009-07-10,RAILWAYS,Katra-Qajigund Rail Line,,217/77,SQ 114,
5724,2005,2009-02-25,HOME AFFAIRS,arms recovered in Central Kolkata,,215/77,USQ 921,
5725,2005,2008-03-03,LAW  AND JUSTICE,photos in original copy of the constitution,,213/79,USQ 378,BALWANT ALIAS BAL APTE
5726,2005,2008-02-27,SCIENCE AND TECHNOLOGY,research papers regarding production of pure water from moisture,,213/18,USQ 188,BALWANT SINGH RAMOOWALIA
5727,2005,2007-11-22,OVERSEAS INDIAN AFFAIRS,address by UPA  Chairperson in UN,,212/72,USQ 486,BALWANT ALIAS BAL APTE
5728,2005,2007-11-19,SCIENCE AND TECHNOLOGY,testing of solverter,,212/35,USQ 149,BALWANT ALIAS BAL APTE
5729,2005,2007-08-13,LAW  AND JUSTICE,Registration of marriages,,211/98,USQ 208,RUDRA NARAYAN PANY
5730,2005,2007-09-03,MINORITY AFFAIRS,Property amassed by churches,,211/32,USQ 2210,
5731,2005,2006-11-22,RURAL DEVELOPMENT,Schemes submitted by Chhattisgarh,,209/12,USQ 92,
5732,2005,2010-07-26,MINORITY AFFAIRS,Reservation for minorities,,220/1,SQ 2,
5733,2005,2007-08-27,HUMAN RESOURCE DEVELOPMENT,Construction of roads by AMU,,211/6,USQ 1560,VINAY KATIYAR
5734,188,2005-12-20,FINANCE AND COMPANY AFFAIRS,MoU with Karnataka for modernisation of co-operative banks,,206/262,USQ 2964,
5735,188,2005-12-13,CIVIL AVIATION,Advanced baggage clearance system at Bangalore airport.,,206/199,USQ 2133,
5736,188,2005-12-13,CIVIL AVIATION,Changes in Bangalore International Airport Project,,206/198,USQ 2132,
5737,188,2005-12-09,HEALTH AND FAMILY WELFARE,Health care system in Karnataka,,206/173,USQ 1898,
5738,188,2005-12-07,HOME AFFAIRS,Relief to victims of rains in Karnataka,,206/148,USQ 1555,
5739,188,2005-12-05,HUMAN RESOURCE DEVELOPMENT,Draft legislation on Common Entrance Test,,206/119,USQ 1229,
5740,188,2005-08-01,URBAN DEVELOPMENT,Infrastructure Development in Bangalore No.,,205/404,USQ 773,
5741,188,2005-08-05,CHEMICALS AND FERTILIZERS,Impact of patent laws on pharma sector,,205/343,SQ 185,HARISH RAWAT
5742,188,2005-08-11,ROAD TRANSPORT AND HIGHWAYS,Four-laning of Bangalore-Devanahalli Road,,205/209,USQ 2013,
5743,188,2005-08-09,PETROLEUM AND NATURAL GAS,Sub-wholesalers for kerosene in Karnataka,,205/186,SQ 1697,
5744,188,2005-08-02,FINANCE AND COMPANY AFFAIRS,Cut in rate of interest by banks,,205/112,USQ 882,
5745,188,2005-03-07,CULTURE,Kannada as a classical language,,204/448,SQ 98,
5746,188,2005-04-25,HUMAN RESOURCE DEVELOPMENT,Anganwadi Centres in Karnataka,,204/372,USQ 3295,
5747,188,2005-03-23,LAW  AND JUSTICE,Family court in Chandigarh,,204/183,USQ 2366,
5748,188,2005-03-16,DEFENCE,Sanctioning of Defence  land for Metro Rail Project in Bangalore,,204/119,USQ 1593,
5749,188,2004-12-23,LABOUR AND EMPLOYMENT,Upgradation of certain ESI hospitals in Karnataka,,203/264,SQ 330,
5750,188,2004-12-21,FINANCE AND COMPANY AFFAIRS,Artisan credit card scheme in Karnataka,,203/250,USQ 1960,
5751,188,2004-12-20,COMMERCE AND INDUSTRY,Subsidy for export of non-basmati rice,,203/157,USQ 1775,
5752,188,2004-07-12,CULTURE,Visits of UNESCO team,,202/236,USQ 182,
5753,188,2004-08-25,NON-CONVENTIONAL ENERGY SOURCES,Demonstration hybrid  wind-solar system in Karnataka,,202/209,USQ 2299,
5754,188,2003-12-19,HUMAN RESOURCE DEVELOPMENT,Universities and colleges in Karnataka as centres of excellence,,200/221,USQ 1939,
5755,188,2003-12-23,CULTURE,Establishment of science cities,,200/194,USQ 2299,
5756,188,2003-08-13,HOME AFFAIRS,"Assent to Karnataka Stamp Bill, 2003",,199/263,USQ 2438,
5757,188,2003-08-04,URBAN DEVELOPMENT AND POVERTY ALLEVIATION,Soft loans for Bangalore Metro Project,,199/240,USQ 1635,
5758,188,2003-08-13,HOME AFFAIRS,President`s assent to a bill from Karnataka,,199/159,USQ 2437,
5759,188,2003-08-08,AGRICULTURE,Dead palms in Karnataka,,199/134,USQ 2089,
5760,188,2003-05-08,EXTERNAL AFFAIRS,Indo Bangla Migrants issue,,198/584,SQ 661,
5761,188,2003-04-07,URBAN DEVELOPMENT AND POVERTY ALLEVIATION,Municipal Reforms Project in Karnataka,,198/542,USQ 2614,
5762,188,2003-05-05,INFORMATION AND BROADCASTING,Operational results of Prasar Bharati,,198/487,USQ 4590,
5763,188,2003-04-24,ROAD TRANSPORT AND HIGHWAYS,NHAI proposal to Karnataka,,198/395,SQ 489,
5764,188,2003-02-21,Education,Grants and aids to fraudulent educational institutions,,198/283,SQ 63,SANTOSH BAGRODIA
5765,188,2003-03-11,CIVIL AVIATION,War risk insurance for Air travellers,,198/236,USQ 2025,
5766,188,2003-03-07,RAILWAYS,Purchase of Diesel locomotives from General Motors,,198/204,USQ 1834,
5767,188,2003-03-05,HOME AFFAIRS,Request by Karnataka Government to reduce share in respect of modernisation of Police Scheme,,198/170,USQ 1414,
5768,188,2003-02-27,COMMUNICATIONS & INFORMATION TECHNOLOGY,ATMs in post offices in Karnataka,,198/100,USQ 927,
5769,188,2002-11-25,"PORTS, SHIPPING AND WATERWAYS",Recommendations of the C.Babu  Rajiv Committee,,197/479,USQ 563,
5770,188,2002-12-19,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Abolition of Karnataka Administrative Tribunal,,197/328,USQ 3068,
5771,188,2002-12-12,COMMUNICATIONS & INFORMATION TECHNOLOGY,Loss due to non-termination of licence of Koshika Telecom Ltd.,,197/229,USQ 2238,
5772,188,2002-12-02,HEALTH AND FAMILY WELFARE,Upgradation of Government medical colleges,,197/127,SQ 189,
5773,188,2002-11-29,HUMAN RESOURCE DEVELOPMENT,Database on foreign universities,,197/117,USQ 1124,
5774,188,2002-08-06,PETROLEUM AND NATURAL GAS,Joint Venture by GAIL in CNG retailing,,196/222,SQ 328,
5775,188,2002-05-15,HOME AFFAIRS,Police Reforms,,195/472,USQ 5169,
5776,188,2002-05-02,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Barter-deal to dispose off wheat stocks,,195/460,USQ 3851,
5777,188,2002-05-17,RAILWAYS,Siding charges for LOCOS,,195/420,USQ 5499,
5778,188,2002-05-14,FINANCE AND COMPANY AFFAIRS,Regulation of professional conduct of auditors,,195/386,USQ 5016,
5779,188,2002-05-13,LAW  AND JUSTICE,Amendment of Article 46 of the Constitution,,195/379,USQ 4896,
5780,188,2002-04-29,"PORTS, SHIPPING AND WATERWAYS",Purchase of gantry crane,,195/290,USQ 3585,
5781,188,2002-03-21,ROAD TRANSPORT AND HIGHWAYS,Basic amendities along North-South and East-West Corridors,,195/172,USQ 2042,
5782,188,2002-03-14,LABOUR AND EMPLOYMENT,Wage out for plantation labour,,195/104,USQ 1262,
5783,188,2001-12-11,FINANCE AND COMPANY AFFAIRS,Probe into price movements of pharmaceutical majors,,194/226,USQ 2310,
5784,188,2001-08-28,COMMUNICATIONS & INFORMATION TECHNOLOGY,Replacement of MARR,,193/221,USQ 3879,
5785,188,2001-08-20,DISINVESTMENT,Rejection of Sterlite bid,,193/145,USQ 2895,
5786,188,2001-08-07,FINANCE AND COMPANY AFFAIRS,Frauds in Garment exports,,193/101,USQ 1754,
5787,188,2001-04-26,ROAD TRANSPORT AND HIGHWAYS,Power to issue driving licences,,192/278,USQ 4533,
5788,188,2001-04-24,FINANCE AND COMPANY AFFAIRS,Manipulation  in stock market in Mumbai,,192/269,USQ 4221,
5789,188,2000-08-17,EXTERNAL AFFAIRS,Experts deputed abroad to take foreign assignments,,190/164,USQ 2753,
5790,188,2005-11-28,CULTURE,Kannada as classical language,,206/53,USQ 454,
5791,188,2005-03-11,ENVIRONMENT AND FORESTS,National Lake Conservation Programme,,204/73,USQ 1130,
5792,188,2004-07-23,HEALTH AND FAMILY WELFARE,Medical colleges in Karnataka,,202/98,USQ 1121,
5793,188,2004-07-21,HOME AFFAIRS,Shortage of personnel at Bangalore Internaitonal Airport,,202/85,USQ 831,
5794,188,2004-07-21,HOME AFFAIRS,Status of the amendment of Article 371 of the Constitution,,202/84,USQ 826,
5795,188,2004-07-19,LAW  AND JUSTICE,Supreme Court Bench in Karnataka,,202/72,USQ 665,
5796,188,2004-07-19,HUMAN RESOURCE DEVELOPMENT,Withdrawal of Histroy text books,,202/70,USQ 643,
5797,188,2003-12-12,HUMAN RESOURCE DEVELOPMENT,Autonomy to colleges in Karnataka by UGC,,200/98,USQ 1148,
5798,188,2003-12-04,EXTERNAL AFFAIRS,Immigration racket,,200/29,USQ 274,
5799,188,2003-12-03,DEFENCE,Missing of computers alongwith classified data,,200/14,SQ 25,
5800,188,2003-07-31,COMMUNICATIONS & INFORMATION TECHNOLOGY,"Bangalore, a global telecom city",,199/71,USQ 1202,
5801,188,2003-07-25,YOUTH AFFAIRS & SPORTS,WADA sanctions,,199/44,USQ 715,
5802,188,2003-07-22,CIVIL AVIATION,Bangalore airport project,,199/11,USQ 155,
5803,188,2003-02-25,CIVIL AVIATION,Delay in international project near Bangalore,,198/73,USQ 641,
5804,188,2002-07-30,FINANCE AND COMPANY AFFAIRS,Downgrading of Indian by Merryl  Lynch,,196/80,USQ 1396,
5805,188,2002-03-14,ROAD TRANSPORT AND HIGHWAYS,Accidents on national highways,,195/94,SQ 175,
5806,188,2002-03-08,RAILWAYS,Phasing out of subsidies on rail passenger traffic,,195/71,USQ 1008,
5807,188,2002-03-08,AGRICULTURE,Value addition to maize,,195/57,SQ 131,
5808,188,2002-03-07,COMMUNICATIONS & INFORMATION TECHNOLOGY,Regulation of courier service trade,,195/50,USQ 786,
5809,188,2001-03-07,HOME AFFAIRS,Attacks on SC/ST and Dalit communities,,192/80,USQ 1211,
5810,188,2000-11-29,HOME AFFAIRS,Bill to allow Dual citizenship,,191/93,USQ 1051,
5811,188,2000-11-29,DEFENCE,Task Force on Subrahamanyam Committee recommendations.,,191/87,USQ 998,
5812,188,2000-11-27,INFORMATION AND BROADCASTING,Backlog of vacancies reserved for SCs/STs,,191/63,USQ 759,
5813,188,2000-08-07,COMMERCE AND INDUSTRY,Backlog of vacancies reserved for SCs/STs,,190/96,USQ 1568,
5814,188,2000-07-31,COMMERCE AND INDUSTRY,Admission of SC/ ST studnets in Indian Institute of Packaging Mumbai,,190/48,USQ 793,
5815,2006,2012-03-30,RAILWAYS,Construction of new railway lines,,225/193,USQ 1999,
5816,2006,2011-12-07,CULTURE,Funds to cultural organisations,,224/169,USQ 1569,
5817,2006,2011-09-02,RAILWAYS,Construction of new railway lines,,223/386,USQ 3384,
5818,2006,2011-08-18,ROAD TRANSPORT AND HIGHWAYS,Six laning of Ahmedabad-Bamanbore Section,,223/268,USQ 1967,
5819,2006,2011-08-05,HUMAN RESOURCE DEVELOPMENT,Innovation University,,223/123,USQ 705,
5820,2006,2010-12-10,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",adoption of Tendulkar Committee Report,,221/310,USQ 3479,
5821,2006,2010-08-19,CULTURE,Extension for Secretary of SNA,,220/298,USQ 2754,
5822,2006,2010-08-13,RAILWAYS,Construction of rail over bridges in Gujarat,,220/227,USQ 2253,
5823,2006,2010-05-06,CULTURE,Extension for Secretary of the Sangeet Natak Academy,,219/347,SQ 598,
5824,2006,2010-04-26,ENVIRONMENT AND FORESTS,Environmental clearance for allocation of coal blocks to GMDC,,219/250,USQ 3260,
5825,2006,2010-04-16,RAILWAYS,Increase in fee for renewal of licence,,219/201,USQ 2427,
5826,2006,2010-03-16,"Environment, Forests  & Climate Change",Expansion of new ports,,219/154,USQ 2126,
5827,2006,2010-03-11,WATER RESOURCES,Raising height of Sardar Sarovar Dam,,219/104,SQ 219,
5828,2006,2010-03-10,HOME AFFAIRS,Gadhuli-Santalpur Road in Gujarat,,219/100,USQ 1427,
5829,2006,2009-12-04,HUMAN RESOURCE DEVELOPMENT,Joint programmes of foreign and Indian technological universities,,218/181,USQ 1747,
5830,2006,2009-12-02,HOME AFFAIRS,Funds for Gadhuli Santalpur road in Gujarat,,218/169,USQ 1460,
5831,2006,2009-11-26,WATER RESOURCES,Protection of sea erosion,,218/102,USQ 888,
5832,2006,2008-12-23,PETROLEUM AND NATURAL GAS,Gujarat Motor Vehicles Regulation Bill,,214/215,USQ 2426,"NATUJI HALAJI THAKOR, VIJAY KUMAR RUPANI"
5833,2006,2008-04-23,HOME AFFAIRS,port/harbour projects pending for approval,,213/281,USQ 3151,
5834,2006,2008-04-23,COMMERCE AND INDUSTRY,shifting of HQ of the office of salt commissioner,,213/273,USQ 3112,
5835,2006,2008-04-17,EXTERNAL AFFAIRS,applications for NORI certificates,,213/249,USQ 2701,
5836,2006,2008-03-18,CULTURE,sardar Vallabhbhai Patel Memorial,,213/167,SQ 278,JAYANTILAL BAROT
5837,2006,2007-08-21,HOME AFFAIRS,financial assistance to Gujarat,,211/273,SQ 134,KESHUBHAI S.PATEL
5838,2006,2007-05-16,HOME AFFAIRS,Review of CRF/NCCF Norms,,210/395,SQ 598,
5839,2006,2006-12-19,PETROLEUM AND NATURAL GAS,Inclusion of ship breaking under petroleum rules,,209/281,USQ 2990,
5840,2006,2006-12-18,MINES,Categorisation of chalk as minor mineral,,209/266,USQ 2797,
5841,2006,2006-12-15,CHEMICALS AND FERTILIZERS,Task force on PCPIR,,209/246,USQ 2604,
5842,2006,2006-12-12,PETROLEUM AND NATURAL GAS,Allocation of kerosene to Gujarat,,209/211,USQ 2236,
5843,2006,2006-08-22,FINANCE AND COMPANY AFFAIRS,Swapping of high cost small saving loans,,208/299,USQ 2641,
5844,2006,2012-03-22,ROAD TRANSPORT AND HIGHWAYS,Annual plan for national Highways in Gujarat,,225/77,USQ 1025,
5845,2006,2010-08-04,ROAD TRANSPORT AND HIGHWAYS,Vadodara Mumbai Expressway,,220/93,USQ 1157,
5846,2006,2009-11-24,FINANCE,Merger of Anyonya Bank with Saraswat Bank,,218/20,USQ 489,
5847,2006,2008-10-22,HOME AFFAIRS,non release of approved funds to Gujarat under MPF,,214/56,USQ 529,
5848,2006,2010-07-26,COAL,Change in the location of power project for GMDC,,220/8,SQ 13,
5849,2006,2008-10-20,HUMAN RESOURCE DEVELOPMENT,foreign university centres,,214/7,SQ 33,
5850,2458,2024-12-09,CIVIL AVIATION,"SAFETY ISSUES IN THE GREENFIELD AIRPORT AT 
PARANDUR, TAMIL NADU",,266/105,USQ 1447,
5851,2458,2024-12-06,RAILWAYS,INSTANCES OF CEMENT BLOCKS AND DETONATORS PLACED ON RAILWAY TRACKS,,266/102,USQ 1395,
5852,2458,2025-12-08,PETROLEUM AND NATURAL GAS,STORAGE CAPACITY OF STRATEGIC PETROLEUM RESERVES,,269/39,USQ 946,
5853,2458,2024-08-08,SCIENCE AND TECHNOLOGY,Retirement age of scientists,,265/41,USQ 2047,
5854,2458,2024-08-06,FINANCE,,,265/26,SQ 152,
5855,2458,2023-12-15,COMMERCE AND INDUSTRY,Acute Financial Crisis in Tea Industry,,262/32,USQ 1477,
5856,2458,2023-12-21,SCIENCE AND TECHNOLOGY,Increasing the retirement age of scientists,,262/29,USQ 2203,
5857,2458,2023-08-08,CHEMICALS AND FERTILIZERS,Outlier methodology concession scheme between 2008-2010,,260/50,USQ 2105,
5858,2458,2021-03-08,"Environment, Forests  & Climate Change",Expenditure incurred on forest cover by Government,,253/57,SQ 145,
5859,189,2001-12-05,DEFENCE,Procurement of advance JET Trainers,,194/137,SQ 227,
5860,189,2001-03-08,LABOUR AND EMPLOYMENT,Permission to women to work in night shift,,192/307,USQ 1405,K.RAMA MOHANA RAO
5861,189,2000-12-22,HEALTH AND FAMILY WELFARE,Supply of inferior quality dressings in Delhi Hospitals,,191/293,USQ 3682,Amar Singh
